"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c320f30d2e32",,,,"User:","root"
"Cmdline:","dstat --time --cpu --mem --io --net --tcp --output /data/metrics/hadoop/soc-LiveJournal1/distribution.dstat.csv 1",,,,"Date:","30 Oct 2025 08:51:13 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"net/total",,"tcp sockets",,,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","lis","act","syn","tim","clo"
30-10 08:51:13,9.680,1.306,88.475,0.154,0.0,0.384,1599197184.0,13664256.0,537677824.0,8119435264.0,17.704,4.806,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:14,0.504,0.757,98.739,0.0,0.0,0.0,1601089536.0,13664256.0,537677824.0,8117542912.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:15,27.847,3.218,67.203,0.0,0.0,1.733,1688834048.0,13664256.0,537739264.0,8029736960.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:16,22.932,3.008,72.807,0.0,0.0,1.253,1718165504.0,13664256.0,537759744.0,8000385024.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:17,23.975,3.727,69.689,0.994,0.0,1.615,1851068416.0,13676544.0,538308608.0,7866920960.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:18,11.667,3.462,84.103,0.0,0.0,0.769,1904226304.0,13676544.0,538308608.0,7813763072.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:19,7.412,1.508,90.704,0.0,0.0,0.377,1941385216.0,13676544.0,538308608.0,7776604160.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:20,9.756,1.926,87.933,0.0,0.0,0.385,1968525312.0,13676544.0,538308608.0,7749464064.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:21,9.637,4.255,84.481,0.0,0.0,1.627,2009305088.0,13676544.0,538312704.0,7708680192.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:51:22,4.551,1.770,93.173,0.0,0.0,0.506,2010279936.0,13684736.0,538308608.0,7707701248.0,0.0,109.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:51:23,5.038,2.015,92.191,0.0,0.0,0.756,2048184320.0,13684736.0,538308608.0,7669796864.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:24,12.785,1.013,85.823,0.0,0.0,0.380,2048184320.0,13684736.0,538308608.0,7669796864.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:25,12.609,0.874,86.142,0.0,0.0,0.375,2044751872.0,13684736.0,562384896.0,7649153024.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:26,9.975,1.894,87.753,0.0,0.0,0.379,2066202624.0,13684736.0,571125760.0,7618961408.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:27,24.590,5.422,69.861,0.0,0.0,0.126,2271993856.0,13688832.0,571125760.0,7413166080.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:28,8.816,1.134,89.547,0.378,0.0,0.126,2276855808.0,13692928.0,573227008.0,7406198784.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:29,13.983,1.748,83.645,0.0,0.0,0.624,2289668096.0,13692928.0,612397056.0,7354216448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:30,17.233,1.635,81.006,0.0,0.0,0.126,2295889920.0,13692928.0,628109312.0,7332282368.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:31,14.053,1.631,84.065,0.0,0.0,0.251,2296168448.0,13692928.0,583282688.0,7376830464.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:51:32,0.754,1.382,97.487,0.0,0.0,0.377,2294812672.0,13692928.0,537747456.0,7423721472.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
