"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c320f30d2e32",,,,"User:","root"
"Cmdline:","dstat --time --cpu --mem --io --net --tcp --output /data/metrics/hadoop/soc-LiveJournal1/indegree.dstat.csv 1",,,,"Date:","30 Oct 2025 08:45:12 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"net/total",,"tcp sockets",,,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","lis","act","syn","tim","clo"
30-10 08:45:12,9.815,1.313,88.326,0.160,0.0,0.385,1608085504.0,12812288.0,536940544.0,8112136192.0,20.376,4.550,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:13,1.365,0.993,97.270,0.0,0.0,0.372,1609568256.0,12812288.0,536940544.0,8110653440.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:14,25.436,2.743,70.075,0.998,0.0,0.748,1711898624.0,12820480.0,536940544.0,8008314880.0,0.0,2.0,74.0,54.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:15,23.892,3.448,71.921,0.0,0.0,0.739,1913348096.0,12820480.0,537272320.0,7806533632.0,0.0,0.0,42.0,42.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:16,6.234,1.995,91.521,0.0,0.0,0.249,2011148288.0,12820480.0,537272320.0,7708733440.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:17,6.508,1.752,91.364,0.0,0.0,0.375,2072305664.0,12820480.0,537272320.0,7647576064.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:18,4.660,1.385,93.325,0.378,0.0,0.252,2136817664.0,12820480.0,537272320.0,7583064064.0,0.0,55.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:19,5.611,0.998,92.643,0.374,0.0,0.374,2146361344.0,12824576.0,537272320.0,7573516288.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:20,5.905,3.518,89.698,0.126,0.0,0.754,2230210560.0,12828672.0,537272320.0,7489662976.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:21,7.895,2.506,88.847,0.0,0.0,0.752,2229915648.0,12828672.0,537272320.0,7489957888.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
