"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c320f30d2e32",,,,"User:","root"
"Cmdline:","dstat --time --cpu --mem --io --net --tcp --output /data/metrics/hadoop/web-BerkStan/indegree.dstat.csv 1",,,,"Date:","30 Oct 2025 08:44:38 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"net/total",,"tcp sockets",,,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","lis","act","syn","tim","clo"
30-10 08:44:38,9.764,1.304,88.389,0.160,0.0,0.383,1612304384.0,12750848.0,536829952.0,8108089344.0,20.672,4.568,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:39,0.250,0.250,99.501,0.0,0.0,0.0,1613209600.0,12750848.0,536829952.0,8107184128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:40,23.067,2.822,71.656,0.0,0.0,2.454,1767927808.0,12750848.0,536911872.0,7952384000.0,0.0,4.0,74.0,54.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:41,23.259,3.234,72.512,0.0,0.0,0.995,1967628288.0,12750848.0,537456640.0,7752138752.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:42,7.205,2.981,89.317,0.0,0.0,0.497,2160906240.0,12750848.0,537456640.0,7558860800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:43,7.152,2.008,89.460,0.502,0.0,0.878,2248634368.0,12759040.0,537456640.0,7471124480.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:44,6.258,1.502,91.615,0.0,0.0,0.626,2336886784.0,12759040.0,537456640.0,7382872064.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:45,13.716,0.499,85.287,0.0,0.0,0.499,2345918464.0,12759040.0,537456640.0,7373840384.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:46,12.531,0.752,86.717,0.0,0.0,0.0,2347008000.0,12759040.0,570142720.0,7340064768.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:47,17.358,3.270,79.119,0.0,0.0,0.252,2545328128.0,12759040.0,570359808.0,7141527552.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:48,8.900,1.854,88.504,0.0,0.0,0.742,2665836544.0,12759040.0,570359808.0,7021019136.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:49,6.234,2.120,90.898,0.499,0.0,0.249,2839490560.0,12767232.0,570363904.0,6847352832.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:50,8.020,2.256,88.972,0.0,0.0,0.752,2846453760.0,12767232.0,570363904.0,6840389632.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,6.0,0.0
30-10 08:44:51,16.332,2.764,80.653,0.0,0.0,0.251,2844532736.0,12767232.0,570372096.0,6842302464.0,0.0,38.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:52,13.109,0.874,85.643,0.0,0.0,0.375,2845769728.0,12767232.0,603197440.0,6808240128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:53,18.124,2.408,78.707,0.0,0.0,0.760,2874662912.0,12767232.0,603201536.0,6779342848.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:54,15.617,2.267,81.360,0.378,0.0,0.378,2922389504.0,12779520.0,603201536.0,6731603968.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:55,6.801,1.259,91.436,0.0,0.0,0.504,2899488768.0,12779520.0,603201536.0,6754504704.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:56,10.487,0.749,88.764,0.0,0.0,0.0,2900004864.0,12779520.0,603201536.0,6753988608.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:57,12.281,0.251,87.469,0.0,0.0,0.0,2900324352.0,12779520.0,616042496.0,6740828160.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:58,14.303,2.363,82.960,0.0,0.0,0.373,2902585344.0,12779520.0,672653312.0,6681956352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:44:59,11.180,1.242,85.714,1.491,0.0,0.373,2904358912.0,12787712.0,731230208.0,6621597696.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:45:00,15.288,0.627,83.709,0.0,0.0,0.376,2904748032.0,12787712.0,731230208.0,6621208576.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,7.0,0.0
30-10 08:45:01,9.673,1.256,88.693,0.0,0.0,0.377,2905239552.0,12787712.0,731230208.0,6620717056.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:45:02,5.119,1.623,92.759,0.0,0.0,0.499,2897416192.0,12787712.0,536997888.0,6822772736.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
