Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:12:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:12:47        all     23.26      0.00      4.35      0.50      0.00     71.89
09:12:48        all     14.84      0.00      2.62      0.00      0.00     82.54
09:12:49        all     30.47      0.00      4.05      0.00      0.00     65.48
09:12:50        all     22.93      0.00      4.07      0.00      0.00     73.00
09:12:51        all     35.24      0.00      3.11      0.00      0.00     61.64
09:12:52        all     35.43      0.00      4.07      0.00      0.00     60.49
09:12:53        all     54.23      0.00      7.67      0.00      0.00     38.10
09:12:54        all     13.00      0.00      6.93      0.00      0.00     80.07
09:12:55        all     22.18      0.00      6.64      0.00      0.00     71.18
09:12:56        all     42.16      0.00     16.07      0.00      0.00     41.77
09:12:57        all      1.38      0.00      3.64      0.00      0.00     94.98
09:12:58        all      4.03      0.00      2.27      0.38      0.00     93.32

Average:        all     24.75      0.00      5.40      0.07      0.00     69.78
