Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:12:46          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
09:12:47         1.00      0.00      1.00      0.00      0.00     64.00      0.00
09:12:48         2.00      0.00      2.00      0.00      0.00    192.00      0.00
09:12:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:12:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:12:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:12:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:12:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:12:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:12:55         2.00      0.00      2.00      0.00      0.00    352.00      0.00
09:12:56         1.00      1.00      0.00      0.00     80.00      0.00      0.00
09:12:57        42.00      0.00     42.00      0.00      0.00    368.00      0.00
09:12:58         1.00      0.00      1.00      0.00      0.00     64.00      0.00
09:12:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:13:00         7.00      0.00      7.00      0.00      0.00    456.00      0.00

Average:         4.00      0.07      3.93      0.00      5.71    106.86      0.00
