Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:43:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:43:01        all     24.84      0.00      4.22      0.87      0.00     70.06
09:43:02        all     15.88      0.00      4.34      0.00      0.00     79.78
09:43:03        all     33.88      0.00      4.00      0.00      0.00     62.12
09:43:04        all     23.85      0.00      2.75      0.00      0.00     73.41
09:43:05        all     33.84      0.00      4.53      0.00      0.00     61.64
09:43:06        all     91.15      0.00      7.33      0.00      0.00      1.52
09:43:07        all     96.53      0.00      3.47      0.00      0.00      0.00
09:43:08        all     95.99      0.00      4.01      0.00      0.00      0.00
09:43:09        all     97.36      0.00      2.64      0.00      0.00      0.00
09:43:10        all     96.50      0.00      3.38      0.00      0.00      0.13
09:43:11        all     97.71      0.00      2.29      0.00      0.00      0.00
09:43:12        all     96.38      0.00      3.62      0.00      0.00      0.00
09:43:13        all     91.93      0.00      8.07      0.00      0.00      0.00
09:43:14        all     93.39      0.00      6.48      0.00      0.00      0.13
09:43:15        all     96.09      0.00      3.91      0.00      0.00      0.00
09:43:16        all     96.13      0.00      3.87      0.00      0.00      0.00
09:43:17        all     96.75      0.00      3.25      0.00      0.00      0.00
09:43:18        all     96.73      0.00      3.27      0.00      0.00      0.00
09:43:19        all     97.87      0.00      2.13      0.00      0.00      0.00
09:43:20        all     96.41      0.00      3.59      0.00      0.00      0.00
09:43:21        all     97.33      0.00      2.67      0.00      0.00      0.00
09:43:22        all     96.09      0.00      3.91      0.00      0.00      0.00
09:43:23        all     86.37      0.00     13.19      0.00      0.00      0.44
09:43:24        all     96.36      0.00      3.64      0.00      0.00      0.00
09:43:25        all     95.84      0.00      4.16      0.00      0.00      0.00
09:43:26        all     94.07      0.00      5.93      0.00      0.00      0.00
09:43:27        all     95.08      0.00      4.92      0.00      0.00      0.00
09:43:28        all     98.50      0.00      1.50      0.00      0.00      0.00
09:43:29        all     97.74      0.00      2.26      0.00      0.00      0.00
09:43:30        all     97.11      0.00      2.89      0.00      0.00      0.00
09:43:31        all     98.24      0.00      1.76      0.00      0.00      0.00
