Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:43:00          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
09:43:01         3.00      0.00      3.00      0.00      0.00    144.00      0.00
09:43:02         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:04         1.00      0.00      1.00      0.00      0.00     24.00      0.00
09:43:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:07         1.98      0.00      1.98      0.00      0.00    356.44      0.00
09:43:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:11         3.00      0.00      3.00      0.00      0.00     88.00      0.00
09:43:12        38.00      0.00     38.00      0.00      0.00    328.00      0.00
09:43:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:16         2.00      0.00      2.00      0.00      0.00     48.00      0.00
09:43:17         2.00      2.00      0.00      0.00     72.00      0.00      0.00
09:43:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:22         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:23         4.00      2.00      2.00      0.00     32.00     32.00      0.00
09:43:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:27         1.98      0.00      1.98      0.00      0.00     15.84      0.00
09:43:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:31         2.00      0.00      2.00      0.00      0.00     32.00      0.00
09:43:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:35        10.89      9.90      0.99      0.00   1021.78     23.76      0.00
09:43:36         7.00      7.00      0.00      0.00    520.00      0.00      0.00
09:43:37         2.00      0.00      2.00      0.00      0.00   1264.00      0.00
09:43:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:41         4.00      0.00      4.00      0.00      0.00     80.00      0.00
09:43:42         5.00      1.00      4.00      0.00      8.00   1736.00      0.00
09:43:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:47         2.00      0.00      2.00      0.00      0.00    984.00      0.00
09:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:53         1.98      0.00      1.98      0.00      0.00    514.85      0.00
09:43:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:57       101.00      0.00    101.00      0.00      0.00   1424.00      0.00
09:43:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:43:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:01         2.00      0.00      2.00      0.00      0.00     32.00      0.00
09:44:02         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:07         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:08         2.00      0.00      2.00      0.00      0.00     48.00      0.00
09:44:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:11         5.00      0.00      5.00      0.00      0.00     96.00      0.00
09:44:12         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:13        30.00      3.00     27.00      0.00     24.00  45488.00      0.00
09:44:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:16         2.00      0.00      2.00      0.00      0.00    208.00      0.00
09:44:17         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:22         1.98      0.00      1.98      0.00      0.00    958.42      0.00
09:44:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:27         2.00      0.00      2.00      0.00      0.00   1208.00      0.00
09:44:28        33.00      0.00     33.00      0.00      0.00  58208.00      0.00
09:44:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:32         2.00      0.00      2.00      0.00      0.00   1152.00      0.00
09:44:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:38         2.00      0.00      2.00      0.00      0.00    512.00      0.00
09:44:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:41         4.00      0.00      4.00      0.00      0.00     88.00      0.00
09:44:42         1.00      0.00      1.00      0.00      0.00     24.00      0.00
09:44:43        97.00      0.00     97.00      0.00      0.00   1424.00      0.00
09:44:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:46         2.00      0.00      2.00      0.00      0.00     80.00      0.00
09:44:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:53         2.00      0.00      2.00      0.00      0.00     24.00      0.00
09:44:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:57         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:44:58        18.81      0.00     18.81      0.00      0.00  27524.75      0.00
09:44:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:01         2.00      0.00      2.00      0.00      0.00    136.00      0.00
09:45:02         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:03         2.00      2.00      0.00      0.00     80.00      0.00      0.00
09:45:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:07         2.00      0.00      2.00      0.00      0.00    896.00      0.00
09:45:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:12         6.00      0.00      6.00      0.00      0.00   1200.00      0.00
09:45:13        44.00      0.00     44.00      0.00      0.00  74632.00      0.00
09:45:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:17         2.00      0.00      2.00      0.00      0.00   1096.00      0.00
09:45:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:22         2.00      0.00      2.00      0.00      0.00    920.00      0.00
09:45:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:27         2.00      0.00      2.00      0.00      0.00    720.00      0.00
09:45:28        87.00      0.00     87.00      0.00      0.00   1296.00      0.00
09:45:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:33         2.00      0.00      2.00      0.00      0.00     40.00      0.00
09:45:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:40         2.00      0.00      2.00      0.00      0.00     40.00      0.00
09:45:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:42         3.00      0.00      3.00      0.00      0.00     96.00      0.00
09:45:43        94.00      6.00     88.00      0.00    504.00  81440.00      0.00
09:45:44         1.00      0.00      1.00      0.00      0.00     24.00      0.00
09:45:45         2.00      0.00      2.00      0.00      0.00   1072.00      0.00
09:45:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:50         1.98      0.00      1.98      0.00      0.00   1188.12      0.00
09:45:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:54         1.00      1.00      0.00      0.00      8.00      0.00      0.00
09:45:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:56         2.00      0.00      2.00      0.00      0.00    224.00      0.00
09:45:57         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:45:58        18.00      1.00     17.00      0.00      8.00  33264.00      0.00
09:45:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:01         2.00      0.00      2.00      0.00      0.00     72.00      0.00
09:46:02         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:07         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:08         2.00      0.00      2.00      0.00      0.00     56.00      0.00
09:46:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00
