Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:42:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:42:13        all     13.15      0.00      4.71      4.96      0.00     77.17
09:42:14        all     18.77      0.00      4.44      2.72      0.00     74.07
09:42:15        all     10.99      0.00      2.75      3.12      0.00     83.15
09:42:16        all     25.15      0.00      4.88      2.69      0.00     67.28
09:42:17        all     17.63      0.00      3.08      1.85      0.00     77.44
09:42:18        all     30.43      0.00      4.17      0.98      0.00     64.42
09:42:19        all     45.78      0.00      4.34      0.37      0.00     49.50
09:42:20        all     41.80      0.00      2.71      0.00      0.00     55.49
09:42:21        all     41.04      0.00      3.96      0.00      0.00     55.01
09:42:22        all     40.75      0.00      0.75      0.00      0.00     58.49
09:42:23        all     48.76      0.00      6.14      0.00      0.00     45.10
09:42:24        all     41.71      0.00      3.17      0.00      0.00     55.12
09:42:25        all     40.22      0.00      1.99      0.00      0.00     57.78
09:42:26        all     39.63      0.00      2.10      0.00      0.00     58.27
09:42:27        all     37.82      0.00      1.48      0.00      0.00     60.69
09:42:28        all     44.00      0.00      4.29      1.10      0.00     50.61
09:42:29        all     53.23      0.00      6.70      0.99      0.00     39.08
09:42:30        all     32.92      0.00      5.13      0.50      0.00     61.45
09:42:31        all      7.60      0.00      4.36      0.87      0.00     87.17
09:42:32        all      3.40      0.00      3.02      0.38      0.00     93.20

Average:        all     31.73      0.00      3.71      1.03      0.00     63.53
