Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:42:12          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
09:42:13      1388.00   1387.00      1.00      0.00  60488.00     64.00      0.00
09:42:14       776.00    776.00      0.00      0.00  18952.00      0.00      0.00
09:42:15       753.00    753.00      0.00      0.00  41008.00      0.00      0.00
09:42:16       818.00    816.00      2.00      0.00  20904.00    152.00      0.00
09:42:17       613.00    613.00      0.00      0.00  18000.00      0.00      0.00
09:42:18       273.00    273.00      0.00      0.00   8320.00      0.00      0.00
09:42:19         6.00      6.00      0.00      0.00     88.00      0.00      0.00
09:42:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:42:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:42:22         2.00      0.00      2.00      0.00      0.00    240.00      0.00
09:42:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:42:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:42:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:42:26         1.00      0.00      1.00      0.00      0.00     24.00      0.00
09:42:27         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:42:28       212.00    212.00      0.00      0.00   6760.00      0.00      0.00
09:42:29         8.00      8.00      0.00      0.00    112.00      0.00      0.00
09:42:30        14.00     14.00      0.00      0.00   1296.00      0.00      0.00
09:42:31        11.00      9.00      2.00      0.00   1088.00    584.00      0.00
09:42:32         4.00      3.00      1.00      0.00    136.00     64.00      0.00
09:42:33         1.00      0.00      1.00      0.00      0.00     16.00      0.00
09:42:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00

Average:       221.82    221.36      0.45      0.00   8052.36     52.00      0.00
