t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.026,48.00,14282.36,70.80,180156050432,198939537408,87840035,1439790773
1.035,48.70,14362.09,71.20,180156328960,198942126080,87841693,1439796075
2.046,45.10,14372.55,71.20,180156333056,198944440320,87844119,1439798098
3.057,39.40,14400.72,71.40,180156341760,198947832320,87844174,1439798164
4.068,45.20,14372.59,71.20,180156341760,198947951104,87844229,1439798164
5.076,35.00,14363.41,71.20,180156341760,198967178752,87844229,1439798230
6.085,33.20,14370.03,71.20,180156345856,198967996928,87844284,1439798296
7.095,36.90,14404.78,71.40,180156345856,198971489792,87844339,1439798362
8.105,39.10,14411.18,71.40,180156350464,198972207104,87844394,1439798428
9.114,32.90,14411.34,71.40,180156350464,198972804608,87844449,1439798494
10.123,28.70,14415.58,71.50,180156350464,198973422592,87844504,1439798494
11.133,44.00,14453.40,71.60,180156350464,198974098432,87844504,1439798560
12.146,33.50,14453.79,71.60,180156350464,198974258176,87848343,1439804908
13.154,46.70,14458.25,71.70,180156355072,198974814720,87848642,1439805493
14.168,62.50,14445.45,71.60,180156355072,198975555584,87849423,1439805855
15.181,45.80,14453.07,71.60,180156600832,198978115072,87849586,1439805951
16.192,40.20,14454.33,71.60,180156600832,198978713088,87849586,1439806059
17.205,34.50,14448.74,71.60,180156604928,198979163136,87849641,1439806167
18.215,45.80,14469.91,71.70,180156617728,198979956224,87849696,1439806233
19.227,46.30,14463.62,71.70,180156634112,198980732416,87849751,1439806299
20.238,40.00,14470.59,71.70,180156634112,198980863488,87849806,1439806299
21.247,57.50,14508.59,71.90,180156634112,198981358592,87849806,1439806365
22.258,47.00,14507.05,71.90,180156634112,198981756928,87851212,1439811336
23.271,53.10,14490.31,71.80,180156667392,198982474240,87853998,1439813811
24.283,67.40,14495.38,71.90,180156675584,198982853120,87854053,1439813877
25.296,44.10,14492.06,71.80,180156675584,198983375360,87860745,1439819774
26.306,36.40,14487.10,71.80,180156683776,198983993344,87865424,1439830039
27.316,53.70,14498.03,71.90,180168373760,198984611840,87868660,1439910597
28.336,65.60,14499.07,71.90,180178438144,198986275328,87911802,1439987849
29.353,61.60,14517.37,72.00,180178622464,198987525632,87916063,1439996295
30.364,44.80,14590.43,72.30,180178622464,198988035072,87917279,1440000568
31.374,47.10,14604.32,72.40,180178622464,198988354560,87920464,1440002919
32.385,38.20,14615.55,72.40,180178626560,198988815872,87926689,1440017070
33.394,43.90,14587.20,72.30,180178635264,198989291008,87930933,1440028405
34.405,58.40,14557.54,72.20,180178639360,198990205440,87933283,1440033645
35.418,34.20,14563.42,72.20,180178643456,198990475776,87933338,1440033711
36.428,31.20,14566.57,72.20,180178647552,198991176192,87933479,1440033789
37.437,30.60,14567.20,72.20,180178647552,198991504896,87933479,1440033855
38.447,37.80,14570.60,72.20,180178721792,198991888384,87933534,1440034115
39.456,37.50,14573.61,72.20,180178725888,198992457728,87933761,1440034353
40.466,49.10,14599.79,72.40,180179037696,198994207744,87933816,1440034419
41.484,41.00,14626.75,72.50,180179054080,198994862080,87934047,1440034653
42.493,33.00,14633.05,72.50,180179058176,198995322880,87937161,1440042132
43.503,40.50,14605.32,72.40,180179083264,198995708416,87938171,1440042663
44.513,51.00,14611.88,72.40,180179083264,198996318208,87942626,1440050137
45.523,38.70,14586.92,72.30,180179087360,198996769792,87942681,1440050203
46.533,36.50,14589.09,72.30,180179144704,198997189120,87942736,1440050907
47.543,31.40,14595.34,72.30,180179148800,198997619200,87942891,1440052906
48.551,33.50,14606.27,72.40,180179153408,198998010880,87943000,1440053484
49.563,36.30,14601.00,72.40,180179157504,198998516224,87946500,1440054783
50.574,44.00,14627.37,72.50,180179157504,198999171072,87950856,1440060562
51.593,39.80,14636.40,72.60,180179161600,198999420928,87950911,1440060618
52.603,31.50,14637.58,72.60,180179165696,198999699456,87950911,1440060684
53.612,41.40,14608.83,72.40,180179174400,199000231424,87950966,1440061390
54.623,36.60,14606.10,72.40,180180677632,199000817152,87953784,1440067176
55.633,43.40,14611.77,72.40,180180681728,199001267712,87955258,1440068633
56.643,32.60,14601.41,72.40,180180694016,199001664000,87955313,1440068675
57.653,35.30,14601.28,72.40,180180694016,199001902080,87955313,1440068783
58.662,30.20,14598.15,72.40,180180702720,199002238464,87955368,1440068849
59.670,30.70,14604.33,72.40,180180710912,199002682880,87955423,1440068915
60.679,51.00,14641.79,72.60,180180764160,199003141120,87955478,1440068981
61.698,41.60,14646.00,72.60,180180854272,199003753472,87955533,1440068981
62.709,30.80,14647.15,72.60,180180854272,199003855872,87959434,1440076394
63.719,41.00,14616.14,72.50,180180858880,199004317696,87959489,1440076514
64.729,37.90,14611.57,72.40,180180862976,199004599296,87959610,1440076580
65.738,41.70,14615.57,72.40,180180862976,199005094912,87963619,1440083836
66.750,33.50,14621.49,72.50,180180862976,199005516800,87964647,1440093658
67.761,30.90,14613.58,72.40,180180867072,199005956608,87981383,1440102810
68.770,34.20,14621.48,72.50,180180875776,199006339072,88011062,1440104179
69.779,31.60,14616.18,72.50,180180875776,199006706176,88011117,1440104245
70.789,51.30,14660.89,72.70,180180875776,199007304192,88011227,1440104377
71.800,40.70,14659.02,72.70,180180879872,199007834624,88011282,1440104377
72.809,30.20,14665.30,72.70,180180883968,199008192512,88011282,1440104443
73.817,42.80,14663.04,72.70,180180888576,199008669696,88011391,1440104892
74.830,33.80,14633.43,72.50,180180900864,199009320960,88017365,1440112125
75.840,38.20,14619.50,72.50,180180902912,199010033664,88020905,1440117833
76.853,42.70,14621.59,72.50,180180907008,199010912768,88021726,1440119610
77.866,34.30,14628.68,72.50,180180911104,199011238912,88021871,1440120382
78.875,34.10,14631.87,72.50,180180919808,199011542528,88021926,1440121420
79.884,43.40,14946.55,74.10,180180919808,199011828736,88021981,1440122082
80.895,51.70,15005.23,74.40,180180923904,199012213760,88022036,1440122148
81.908,44.30,15028.49,74.50,180180923904,199012841984,88028482,1440129388
82.921,35.10,14981.39,74.30,180180923904,199013554688,88028645,1440130237
83.931,40.70,14948.23,74.10,180180928512,199030735360,88028645,1440130395
84.940,33.50,14957.14,74.10,180180932608,199033537024,88028700,1440130461
85.950,45.40,14866.46,73.70,180180932608,199033803264,88029502,1440131189
86.962,61.10,14861.36,73.70,180180932608,199036215296,88032852,1440138046
87.976,59.80,14288.18,70.80,180180936704,199038869504,88054252,1440148215
