t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.021,75.00,14315.34,71.00,180149911040,198917848064,87760864,1439642108
1.036,53.40,14360.76,71.20,180149911040,198920391680,87762998,1439643884
2.047,45.60,14368.98,71.20,180153923584,198923136000,87766134,1439644062
3.058,57.20,14343.38,71.10,180155558400,198925811200,87767779,1439719256
4.074,56.40,14334.87,71.10,180155968000,198927478272,87839761,1439789710
5.086,37.60,14357.66,71.20,180155968000,198930103808,87839870,1439790575
6.099,36.90,14360.91,71.20,180155976192,198932753920,87839925,1439790575
7.113,42.60,14359.05,71.20,180156041728,198935686656,87839925,1439790641
8.123,31.40,14391.70,71.30,180156046336,198936207360,87839980,1439790707
9.135,22.40,14275.27,70.80,180156050432,198938923008,87840035,1439790773
