t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.025,18.80,14408.65,71.40,180115879936,198796932096,87339936,1438823008
1.036,55.00,14493.72,71.80,180116105216,198798930944,87339991,1438823074
2.047,43.90,14498.10,71.90,180116204032,198799497216,87341283,1438823425
3.056,32.90,14496.73,71.90,180116208128,198800429568,87345922,1438828987
4.067,46.40,14505.79,71.90,180116290048,198801019392,87348659,1438835037
5.078,63.90,14596.58,72.40,180116290048,198802267136,87350059,1438836209
6.092,51.90,14627.98,72.50,180116294144,198802813440,87350114,1438836275
7.105,39.90,14654.20,72.60,180116302848,198803345408,87350169,1438836341
8.117,45.80,14676.90,72.80,180116302848,198803750912,87350433,1438836566
9.128,51.80,14704.36,72.90,180116302848,198804461056,87350523,1438836688
10.139,63.40,14807.72,73.40,180116304384,198805380608,87350756,1438836989
11.152,59.70,14854.41,73.60,180116337152,198806172160,87355124,1438842768
12.167,62.70,14488.31,71.80,180116345856,198810543104,87359723,1438849170
13.181,28.30,14418.45,71.50,180116345856,198811935744,87365939,1438857162
