t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.021,62.50,14301.64,70.90,180119147008,198833745920,87464639,1439079588
1.034,62.20,14352.75,71.10,180119147008,198834515968,87464935,1439079774
2.044,59.00,14372.99,71.20,180119147008,198835121152,87465072,1439080016
3.056,51.80,14494.93,71.80,180119147008,198838564352,87469148,1439087047
4.070,56.20,14554.66,72.10,180119147008,198839550976,87469354,1439087317
5.087,43.10,14539.35,72.10,180119155712,198840034816,87469464,1439087449
6.098,38.30,14567.13,72.20,180119155712,198840369152,87469519,1439087581
7.123,61.90,14657.17,72.70,180119155712,198840865792,87469574,1439087647
8.139,62.70,14749.94,73.10,180119155712,198841331712,87469684,1439087779
9.154,70.20,14749.07,73.10,180119164416,198842885120,87469739,1439087779
10.232,45.80,14388.88,71.30,180119164416,198843644928,87469739,1439087915
11.244,47.90,14333.22,71.00,180119164416,198843876864,87469794,1439087981
12.257,33.90,14353.47,71.10,180119164416,198844259328,87469959,1439088179
13.265,34.10,14362.42,71.20,180119164416,198844566528,87472084,1439093965
14.274,40.60,14380.18,71.30,180119169024,198845250048,87474390,1439095848
15.288,44.50,14379.25,71.30,180119169024,198845841408,87474390,1439095914
16.298,34.40,14411.05,71.40,180119169024,198846451712,87475248,1439096766
17.307,35.90,14406.62,71.40,180119169024,198846763008,87478979,1439103003
18.316,47.20,14447.69,71.60,180119169024,198847126528,87482397,1439103505
19.327,43.40,14452.87,71.60,180119312896,198848363008,87520758,1439184843
20.338,59.80,14486.34,71.80,180119513600,198850118144,87554358,1439246157
21.354,53.70,14449.57,71.60,180119513600,198850281984,87555689,1439251277
22.366,33.90,14451.68,71.60,180119513600,198850655232,87557122,1439252200
23.375,32.20,14446.17,71.60,180119513600,198851295744,87557177,1439252266
24.383,32.00,14456.03,71.70,180119518208,198851741696,87561256,1439259406
25.393,43.90,14461.84,71.70,180119522304,198852626432,87567046,1439266564
26.404,30.00,14452.37,71.60,180119522304,198853272064,87567046,1439266630
27.412,34.70,14457.51,71.70,180119522304,198853684224,87567101,1439266696
28.422,58.60,14479.00,71.80,180119522304,198855547392,87567246,1439266818
29.433,47.10,14444.30,71.60,180119526912,198856162304,87570652,1439273500
30.446,39.60,14419.53,71.50,180119526912,198856862208,87571912,1439274966
31.457,48.10,14426.73,71.50,180119526912,198857374720,87572339,1439275196
32.466,32.70,14415.21,71.50,180119526912,198857808896,87572394,1439275196
33.475,34.90,14421.38,71.50,180119526912,198858253824,87572449,1439275328
34.484,39.50,14425.62,71.50,180119533056,198859267584,87574504,1439280987
35.494,34.70,14432.30,71.50,180119533056,198860111360,87576669,1439282439
36.504,38.20,14436.56,71.60,180119533056,198860770816,87576724,1439282571
37.515,31.10,14493.11,71.80,180119533056,198861239808,87576779,1439282571
38.524,45.20,14534.31,72.00,180119533056,198861794304,87576779,1439282637
39.534,33.50,14535.66,72.10,180119537664,198861874176,87580634,1439287680
40.543,38.10,14496.90,71.90,180119541760,198862320640,87580936,1439288797
41.555,50.90,14492.41,71.80,180119541760,198862722560,87581073,1439288997
42.565,37.60,14484.62,71.80,180119545856,198863299584,87581128,1439289039
43.577,30.60,14494.09,71.80,180119545856,198863539712,87581128,1439289147
44.586,35.70,14491.27,71.80,180119550464,198863912960,87584325,1439289367
45.595,42.10,14496.26,71.90,180119730688,198865039872,87632339,1439444137
46.605,58.40,14527.57,72.00,180119742976,198866955776,87662553,1439453514
47.618,34.60,14521.44,72.00,180119742976,198867489280,87662608,1439453514
48.628,44.20,14552.63,72.10,180119742976,198867894784,87662663,1439453646
49.637,36.20,14555.69,72.20,180119747584,198868507648,87662773,1439453778
50.645,37.50,14529.18,72.00,180119747584,198868921344,87663068,1439454231
51.656,51.00,14513.60,71.90,180119747584,198869867520,87663123,1439454297
52.667,34.50,14509.59,71.90,180119747584,198870187008,87663340,1439454578
53.677,30.20,14520.05,72.00,180119747584,198870507520,87663340,1439454644
54.686,35.30,14514.54,71.90,180119752192,198871106048,87663635,1439454935
55.695,28.00,14521.95,72.00,180119752192,198871595008,87667204,1439460871
56.704,38.00,14524.77,72.00,180119752192,198872459776,87667930,1439462608
57.716,55.90,14568.27,72.20,180121583104,198873387520,87667985,1439462740
58.738,45.00,14595.52,72.30,180121583104,198873914880,87668040,1439462740
59.748,35.00,14604.27,72.40,180121587712,198874451968,87668126,1439462806
60.758,39.70,14570.69,72.20,180121608192,198874673152,87668235,1439463080
61.766,47.50,14567.68,72.20,180121608192,198875160064,87668558,1439463334
62.776,55.00,14568.75,72.20,180121608192,198875738112,87668613,1439463400
63.791,46.70,14572.72,72.20,180121608192,198876603904,87668723,1439463466
64.803,47.30,14572.47,72.20,180121616384,198876760064,87668778,1439463598
65.813,45.30,14578.05,72.30,180121616384,198877276672,87668833,1439463664
66.825,48.80,14575.47,72.20,180121620480,198877641728,87672880,1439470475
67.835,49.10,14607.92,72.40,180121620480,198878092288,87672935,1439470541
68.860,37.50,14614.14,72.40,180121620480,198878635520,87672990,1439470541
69.870,31.70,14619.19,72.50,180121629184,198879034368,87673045,1439470743
70.879,39.50,14595.69,72.30,180121629184,198879360000,87673155,1439470875
71.888,37.50,14584.63,72.30,180121633280,198879728640,87673210,1439470941
72.900,42.90,14576.41,72.30,180121649664,198880468480,87676842,1439501635
73.914,52.10,14581.12,72.30,180122227200,198882020864,87714060,1439607782
74.926,56.80,14594.86,72.30,180143617024,198882900480,87740814,1439609140
75.938,36.10,14585.84,72.30,180143617024,198883273216,87740814,1439609206
76.949,32.50,14585.60,72.30,180143617024,198883689984,87744879,1439617163
77.958,53.90,14634.55,72.50,180143617024,198884268032,87745120,1439617447
78.973,38.10,14626.46,72.50,180143617024,198884707840,87745175,1439617513
79.982,34.60,14619.46,72.50,180143883776,198885203968,87745416,1439617623
80.992,38.70,14591.08,72.30,180143887872,198885729280,87745506,1439617745
82.002,35.90,14587.14,72.30,180143891968,198886234624,87745643,1439617987
83.014,36.40,14590.71,72.30,180143891968,198886853632,87745698,1439618095
84.023,39.00,14596.50,72.40,180143891968,198887369728,87745753,1439618203
85.032,32.70,14596.29,72.40,180143896576,198887924224,87745808,1439618203
86.041,31.80,14887.59,73.80,180143900672,198888365568,87745863,1439618335
87.052,42.30,14931.67,74.00,180143900672,198888592384,87747233,1439623116
88.062,61.30,14974.78,74.20,180143900672,198890202112,87750079,1439625937
89.076,45.20,14999.77,74.40,180143903232,198891112448,87750134,1439626003
90.089,32.10,14949.06,74.10,180143907840,198900113920,87757902,1439632535
91.098,48.20,14934.24,74.00,180143907840,198903337472,87758503,1439636163
92.112,41.30,14938.97,74.10,180143907840,198903665152,87758558,1439636229
93.121,37.40,14834.12,73.50,180143961088,198907359744,87758613,1439636295
94.130,45.80,14746.89,73.10,180143961088,198910773760,87758668,1439636361
95.141,26.00,14275.02,70.80,180143969792,198911421440,87758809,1439636439
