t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.021,38.90,14414.32,71.40,180116345856,198812447744,87365939,1438857336
1.030,49.50,14435.30,71.60,180116345856,198813225984,87367904,1438862736
2.039,50.50,14471.45,71.70,180116349952,198814153216,87370136,1438864780
3.052,44.90,14591.66,72.30,180116349952,198814895616,87370191,1438864846
4.065,41.60,14624.60,72.50,180116354560,198815154176,87370246,1438864912
5.080,44.40,14646.25,72.60,180116354560,198815686144,87370301,1438864978
6.095,44.10,14678.94,72.80,180116354560,198816247296,87370356,1438864978
7.110,79.70,14655.61,72.60,180116354560,198816849920,87376184,1438869485
8.132,88.00,14762.43,73.20,180118654976,198817681408,87377211,1438946604
9.157,78.00,14802.35,73.40,180118905344,198819965440,87426709,1439063400
10.172,89.70,14467.30,71.70,180118905344,198821134848,87456615,1439066124
11.193,53.80,14320.54,71.00,180118905344,198821767680,87456670,1439066124
12.206,39.40,14324.39,71.00,180118905344,198822128128,87460738,1439073380
13.215,46.20,14334.48,71.10,180118905344,198823324160,87460793,1439073446
14.233,42.90,14329.46,71.00,180118909952,198823597568,87464247,1439079190
15.243,44.80,14331.27,71.00,180118909952,198824531456,87464302,1439079312
16.253,37.70,14331.51,71.00,180118909952,198825124864,87464357,1439079312
17.264,45.30,14333.86,71.10,180118909952,198825346560,87464357,1439079378
18.278,72.60,14382.16,71.30,180118909952,198831040512,87464412,1439079444
19.291,37.00,14300.64,70.90,180118914560,198831622656,87464639,1439079588
