t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.012,68.80,14254.07,70.70,181101916160,204760806400,135789781,1534954214
1.020,45.00,14323.08,71.00,181101981696,204761558528,135789781,1534954580
2.026,35.50,14355.86,71.20,181101989888,204762332672,135793016,1534955674
3.034,37.60,14373.60,71.20,181102104576,204763504128,135830426,1535037648
4.041,44.00,14392.00,71.30,181102301184,204764978688,135864458,1535093852
5.050,41.40,14435.75,71.60,181102307328,204765737984,135864621,1535095408
6.058,58.80,14495.45,71.90,181102307328,204769586688,135871520,1535106906
7.075,48.80,14517.73,72.00,181102308864,204771163648,135876672,1535130407
8.089,39.40,14516.11,72.00,181102308864,204774205952,135876986,1535131848
9.103,73.20,14533.66,72.00,181103046144,204775860736,135879320,1535136437
10.124,63.80,14514.72,71.90,181106446336,204777370624,135886745,1535160971
11.141,42.90,14518.13,72.00,181106446336,204778402816,135889386,1535192021
12.151,46.20,14523.10,72.00,181106446336,204779515392,135897712,1535202952
13.162,36.60,14524.71,72.00,181106447360,204780275200,135901483,1535207918
14.171,42.10,14526.00,72.00,181106447360,204780847104,135906325,1535215141
15.180,48.10,14540.83,72.10,181106451968,204781437440,135907899,1535217105
16.189,42.30,14568.62,72.20,181106451968,204782017024,135907899,1535217237
17.198,45.30,14576.89,72.30,181106451968,204782733824,135908144,1535219074
18.208,37.10,14575.43,72.20,181106452480,204783406592,135908362,1535220673
19.218,65.90,14573.50,72.20,181106452480,204786327040,135908503,1535221515
20.233,41.40,14578.73,72.30,181106457088,204786771456,135908612,1535222439
21.250,42.60,14569.01,72.20,181106457088,204787605504,135908612,1535222505
22.259,43.90,14582.40,72.30,181106457088,204788513792,135909530,1535223650
23.270,35.10,14581.94,72.30,181106457088,204788853760,135916667,1535231658
24.281,39.90,14575.45,72.20,181106567680,204789495808,135958624,1535310731
25.290,57.30,14581.63,72.30,181106572288,204791159808,135995817,1535373050
26.300,63.30,14634.50,72.50,181106576384,204792077312,135995871,1535373301
27.312,43.70,14641.05,72.60,181106576384,204792855552,135995926,1535373367
28.323,34.70,14749.34,73.10,181106576384,204793334784,135997275,1535373890
29.332,37.10,14664.85,72.70,181106576384,204793850880,135999982,1535379600
30.339,36.10,14682.75,72.80,181106580992,204794416640,136000090,1535383513
31.351,31.20,14664.84,72.70,181106580992,204795115008,136000145,1535383579
32.360,36.30,14596.05,72.40,181106580992,204795282432,136000200,1535383722
33.369,33.80,14591.18,72.30,181106581504,204795883520,136000310,1535383854
34.377,31.50,14600.57,72.40,181106581504,204796350464,136001374,1535388509
35.386,42.10,14603.23,72.40,181106586112,204797331456,136004174,1535397792
36.396,49.50,14620.77,72.50,181106586112,204797794304,136005652,1535399599
37.405,44.80,14638.50,72.60,181106586112,204801193984,136005761,1535402290
38.413,41.20,14610.26,72.40,181106586112,204801804288,136005870,1535403016
39.424,44.70,14572.98,72.20,181106586112,204803032576,136005870,1535403082
40.434,40.10,14578.30,72.30,181106590720,204803745280,136006011,1535403148
41.442,31.20,14567.65,72.20,181106590720,204804430336,136006066,1535403291
42.449,34.20,14569.38,72.20,181106590720,204804880896,136006121,1535403357
43.458,33.70,14571.59,72.20,181106590720,204805540352,136009433,1535408770
44.466,37.70,14559.01,72.20,181106590720,204806046208,136009650,1535410324
45.474,35.20,14575.66,72.20,181106595328,204806429696,136009759,1535411172
46.486,48.40,14603.49,72.40,181106595328,204806708224,136014004,1535419491
47.495,36.40,14625.29,72.50,181106632192,204806942208,136014059,1535419568
48.502,41.50,14614.96,72.40,181106632192,204807820288,136014059,1535419634
49.512,38.70,14613.99,72.40,181106636288,204808209408,136017297,1535420688
50.522,47.20,14607.05,72.40,181106694144,204809098752,136018432,1535496652
51.532,69.60,14626.92,72.50,181106857984,204810732544,136093852,1535572491
52.543,53.90,14633.57,72.50,181106862080,204811105280,136093961,1535573366
53.552,49.00,14634.57,72.50,181106862080,204811897856,136093961,1535573432
54.562,45.70,14638.07,72.60,181106863104,204812401664,136094124,1535575008
55.575,32.70,14641.93,72.60,181106867712,204812858368,136094289,1535575074
56.582,45.70,14676.26,72.70,181106867712,204813830144,136097905,1535581124
57.591,31.30,14676.72,72.80,181106867712,204814292992,136098576,1535582793
58.601,40.90,14645.36,72.60,181106867712,204814818816,136098754,1535583174
59.614,43.70,14640.39,72.60,181106868224,204815296512,136102979,1535593804
60.623,33.60,14641.24,72.60,181106872832,204815934464,136103275,1535594511
61.631,34.10,14646.74,72.60,181106872832,204816442368,136103384,1535595037
62.641,33.50,14643.32,72.60,181106872832,204817673728,136109373,1535604938
63.650,28.80,14649.21,72.60,181106872832,204818181632,136109481,1535610364
64.658,37.00,14655.06,72.60,181106872832,204819084800,136109698,1535614216
65.669,32.40,14660.30,72.70,181106877440,204819552256,136109753,1535614282
66.690,44.80,14696.11,72.80,181106878464,204820271616,136110695,1535616587
67.699,36.90,14698.59,72.90,181106878464,204820809216,136114059,1535625021
68.708,39.70,14677.98,72.80,181106878464,204821234688,136114059,1535625087
69.717,47.40,14669.98,72.70,181106878464,204821672960,136114114,1535625153
70.727,33.30,14667.84,72.70,181106883072,204822170624,136114972,1535625597
71.736,34.00,14671.16,72.70,181106883072,204822725120,136119286,1535631212
72.747,37.20,14669.60,72.70,181106883072,204823068672,136122179,1535638489
73.756,34.40,14939.24,74.10,181106883072,204823404544,136122473,1535639798
74.766,43.30,14934.64,74.00,181107079680,204825232896,136122637,1535640709
75.777,43.20,14973.31,74.20,181107096576,204825729536,136122692,1535640775
76.791,39.20,14949.89,74.10,181107182592,204829282816,136122937,1535642458
77.800,38.20,14964.49,74.20,181107186688,204829803008,136127095,1535648727
78.810,38.00,14944.61,74.10,181107190784,204832555520,136136473,1535656926
79.819,56.50,14945.53,74.10,181107256320,204836217344,136137883,1535732117
80.829,51.20,14836.84,73.50,181107424768,204840798208,136208435,1535805939
81.842,51.20,14298.11,70.90,181128805888,204841363456,136208544,1535807465
