t_sec,cpu_percent,mem_used_mb,mem_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes
0.033,52.00,14644.66,72.60,180936600064,203923726336,131561170,1515549225
1.048,73.60,14666.76,72.70,180937646592,203924112896,131599001,1515554984
2.062,50.00,14817.53,73.40,180937679872,203924637184,131602359,1515568325
3.084,67.60,14833.03,73.50,180937745408,203925083648,131602414,1515568468
4.099,52.40,14720.84,73.00,180938188800,203937638400,131602469,1515568534
5.112,67.30,14690.95,72.80,180938557440,203951045632,131602590,1515568677
6.124,45.40,14685.88,72.80,180938557440,203964711936,131805292,1515579607
7.138,38.40,14674.23,72.70,180938562048,203965089280,131829518,1515610218
8.149,40.40,14667.23,72.70,180938566144,203965339136,131835973,1515611470
9.158,39.90,14726.44,73.00,180938607104,203966216704,131837521,1515687131
10.168,43.00,14604.33,72.40,180938738176,203973868032,131882719,1515752548
